id;category_type_id;category_name;parent_id;description;image_url;hide_search
1;back bypass;deposit;65547;Vista Borders;azure zero;true
2;PNG;content-based Senior integrated;28997;Ball leverage;payment;true
3;Texas bottom-line;executive;83818;Awesome;input;true
4;District Berkshire;South clicks-and-mortar Investment;1561;portals;application calculating Chicken;false
5;Savings Sleek microchip;Timor-Leste;84538;Triple-buffered red Vista;leverage transitional;true
6;Accountability;deploy Planner bus;73805;Designer alarm;ubiquitous;true
7;ADP Borders;Soft;49112;Savings Cloned framework;Investor enable;true
8;quantify Generic COM;bandwidth card;23123;Computer Cotton Tasty;Soap drive;true
9;olive Account online;JSON;58466;National leverage visionary;Tasty architectures International;false
10;Incredible Junctions platforms;Mauritius;44838;e-tailers;Brazil Grocery Table;true
